id,name,cuisine,price_range,rating,city,tags,description
1,Golden Dragon,Chinese,$$,4.5,Calgary,"noodles, dumplings, spicy, family","A bustling family-run spot in downtown Calgary specializing in authentic Szechuan dishes. Known for hand-pulled noodles, plump pork dumplings, and customizable spice levels that range from mild to fire-alarm hot."
2,La Piazza,Italian,$$$,4.7,Calgary,"pasta, pizza, wine, romantic","Elegant trattoria with candlelit tables and an extensive Italian wine list. House-made pastas and wood-fired pizzas draw couples for anniversary dinners; the tiramisu is legendary."
3,Taco Loco,Mexican,$,4.1,Calgary,"tacos, street food, casual","Vibrant hole-in-the-wall serving al pastor shaved fresh off the trompo. Late-night crowds line up for $3 tacos and ice-cold horchata in a no-frills, picnic-table setting."
4,Sakura Sushi,Japanese,$$,4.6,Calgary,"sushi, sashimi, seafood","Sleek sushi bar with daily deliveries from the Pacific coast. Omakase menus showcase buttery toro and live scallop nigiri; the miso black cod is a signature."
5,Burger Barn,American,$,3.9,Calgary,"burgers, fries, fast food","Retro drive-in style joint smashing Alberta beef patties on a flat-top grill. Double cheeseburgers with crispy fries and thick milkshakes keep students and families coming back."
6,Le Petit Paris,French,$$$,4.8,Calgary,"fine dining, wine, dessert","Intimate 30-seat bistro channeling Parisian charm. Classic escargot, duck confit, and crème brûlée paired with sommelier-selected Bordeaux; jackets recommended after 6 PM."
7,Spice Route,Indian,$$,4.4,Calgary,"curry, naan, spicy","Colorful curry house offering butter chicken that simmers for six hours and flaky garlic naan baked in a 500°C tandoor. Vegan and gluten-free options abound."
8,Green Earth,Vegan,$$,4.3,Calgary,"plant-based, salad, healthy","Bright, plant-filled café crafting bowls from local organic produce. Jackfruit 'pulled pork' and cashew-cheese pizzas prove vegan food can be indulgent and guilt-free."
9,El Toro Steakhouse,Steakhouse,$$$$,4.9,Calgary,"steak, wine, upscale","AAA Alberta beef aged 45 days and grilled over mesquite. The 20-oz bone-in ribeye and 500-label wine cellar make this the choice for closing deals and celebrations."
10,Seaside Grill,Seafood,$$$,4.5,Calgary,"fish, oysters, date night","Nautical-themed dining room flying in oysters daily from both coasts. Cedar-plank salmon and lobster thermidor pair with ocean-view booths (yes, even in landlocked Calgary)."
11,The Greek Table,Greek,$$,4.2,Calgary,"gyros, mediterranean, family","White-and-blue taverna with sprawling patio. Spit-roasted lamb gyros, lemony avgolemono soup, and shareable meze platters feed multi-generational Greek families every Sunday."
12,Café Aroma,Café,$,4.0,Calgary,"coffee, brunch, pastries","Cozy corner café roasting beans in-house. Fluffy buttermilk pancakes, avocado toast, and almond croissants fuel remote workers camped out with laptops all morning."
13,Middle East Feast,Mediterranean,$$,4.3,Calgary,"shawarma, hummus, pita","Shawarma spits spin 18 hours a day. Silky hummus drizzled with olive oil, charred pita fresh from the oven, and pomegranate-glazed chicken keep the lunch rush steady."
14,Urban Thai,Thai,$$,4.6,Calgary,"spicy, curry, noodles","Sleek neon-lit room balancing Bangkok street heat with Calgary refinement. Khao soi curry, tear-inducing som tam, and customizable pad kee mao spice levels (1-10, daredevils choose 10)."
15,BBQ Central,BBQ,$$$,4.4,Calgary,"ribs, brisket, smoky","Hickory smoke rolls out the doors from 11 AM. 14-hour brisket with bark that snaps, fall-off-the-bone ribs, and cornbread soaked in honey butter; picnic tables fill fast."
